Word,Valence,Extremity,Emotionality
wary,2.55,1.95,5.07
unhappy,2.54,1.96,6.66
uninventive,2.54,1.96,2.66
nonmeaningful,2.54,1.96,2.21
strained,2.53,1.97,4.31
premature,2.52,1.98,2.96
difficult,2.52,1.98,3.43
daftness,2.5,2,3.97
disinterested,2.5,2,3.77
fishy,2.48,2.02,3.93
inconvenienced,2.48,2.02,3.26
flaws,2.47,2.03,3.04
preposterous,2.46,2.04,5.29
ridiculously,2.46,2.04,4.9
spoiled,2.46,2.04,4.28
meaningless,2.46,2.04,4.17
convoluted,2.46,2.04,3.52
feeble,2.45,2.05,4.15
cocky,2.44,2.06,5.51
bored,2.44,2.06,4.03
cheaply,2.44,2.06,2.35
mediocrity,2.44,2.06,2.26
cluttered,2.44,2.06,2.81
numb,2.43,2.07,4.87
afraid,2.43,2.07,7.24
sulky,2.43,2.07,5.72
misfortunate,2.43,2.07,4
cumbersome,2.42,2.11,3.83
melodramatic,2.42,2.08,5.89
foolhardy,2.42,2.08,3.96
interfering,2.42,2.08,3.63
overpowered,2.4,2.1,4.48
lackluster,2.4,2.1,3.57
forgetful,2.4,2.1,2.52
dull,2.39,2.11,3.9
catty,2.38,2.12,6.03
underwhelmed,2.37,2.13,3.92
unwitting,2.37,2.13,4.2
unbalanced,2.36,2.14,3.04
clunky,2.36,2.14,2.26
noisy,2.36,2.14,2.16
unsophisticated,2.36,2.14,3.21
uninterested,2.35,2.15,3.37
flimsy,2.35,2.15,2.6
confuse,2.34,2.16,4.26
woe,2.34,2.16,5.6
vapid,2.34,2.3,5.08
vexatious,2.32,2.26,5.59
weirdo,2.32,2.18,4.7
sloshed,2.32,2.18,2.91
doubt,2.32,2.18,4.34
unwilling,2.32,2.18,3.14
unrealistic,2.32,2.18,2.59
unoriginal,2.32,2.18,2.03
subpar,2.32,2.18,1.83
disconnected,2.31,2.19,3.73
meagerly,2.31,2.19,2.92
erroneous,2.31,2.19,2.54
chubby,2.3,2.2,2.47
bleh,2.3,2.2,5.03
underwhelming,2.3,2.2,3.43
absurd,2.29,2.21,4.23
regretted,2.29,2.21,6
denounce,2.29,2.21,4.07
unreasonable,2.29,2.21,3.86
unfitting,2.28,2.22,3.12
embarrassed,2.28,2.22,7.66
overreacting,2.28,2.22,5.82
unredeemed,2.28,2.22,3.3
forgettable,2.28,2.22,3.16
garish,2.26,2.27,4.12
cockeyed,2.26,2.24,2.73
problematical,2.25,2.25,3.88
deficient,2.25,2.25,3.66
impertinent,2.25,2.25,3.41
uninteresting,2.25,2.25,3.34
unusable,2.25,2.25,2
bungling,2.24,2.32,3.59
rattled,2.24,2.26,5.26
overplayed,2.24,2.26,4.2
sketchy,2.24,2.26,3.52
nonsense,2.24,2.26,2.56
menial,2.23,2.27,2.73
unserviceable,2.23,2.27,2.4
unneeded,2.22,2.28,3.08
overweight,2.21,2.29,3.41
chintzy,2.21,2.32,3.3
blah,2.2,2.3,4.57
poorly,2.2,2.3,3.42
superficial,2.2,2.3,3.15
sore,2.2,2.3,2.21
clumsy,2.2,2.3,2.07
detached,2.19,2.31,4.4
haphazard,2.19,2.31,3.48
incomprehensible,2.19,2.31,3.6
contradictory,2.19,2.31,2.72
frayed,2.19,2.31,2.46
unfriendly,2.18,2.32,4.93
unfair,2.18,2.32,4.66
inattentive,2.18,2.32,2.62
inefficient,2.18,2.32,2.41
begrudge,2.16,2.34,6.59
dismissive,2.16,2.34,5.03
bother,2.16,2.34,4.67
bashing,2.16,2.34,4.56
tiresome,2.16,2.34,4.15
unconvincing,2.16,2.34,3.19
cramped,2.16,2.34,3
slowest,2.15,2.35,2.14
severe,2.14,2.36,4.79
slimy,2.14,2.36,4.75
stinky,2.14,2.36,2.86
pudgy,2.13,2.37,3.63
slipshod,2.13,2.4,3.54
maladjusted,2.13,2.37,3.9
looney,2.13,2.38,5.15
frightfully,2.12,2.38,6.42
uncomfortable,2.12,2.38,5.29
improper,2.12,2.38,3.05
ineffective,2.12,2.38,2
dingy,2.12,2.38,1.9
incorrect,2.11,2.39,1.79
insufferable,2.11,2.39,6.07
bogus,2.11,2.39,3.55
overrated,2.1,2.4,3.26
disjointed,2.1,2.4,3.57
fools,2.1,2.4,4.07
noisiest,2.09,2.41,3.92
peeved,2.08,2.42,6.24
unhinged,2.08,2.42,4.69
unmanageable,2.08,2.42,4.39
cockamamie,2.07,2.43,4.5
chump,2.07,2.43,3.5
offence,2.07,2.43,3.76
futile,2.07,2.43,3.54
stale,2.07,2.43,2.42
brutish,2.06,2.44,4.92
inaccurate,2.06,2.44,1.96
overcooked,2.06,2.44,1.19
annoyance,2.06,2.44,5.55
indolent,2.06,2.44,3.88
suspicious,2.04,2.46,4.89
unacceptable,2.04,2.46,3.74
disorderly,2.04,2.46,3.24
shabby,2.04,2.46,2.55
lusterless,2.04,2.46,2.14
frustrated,2.04,2.46,6.21
arrogance,2.04,2.46,5.9
jarring,2.04,2.46,5.68
wannabe,2.03,2.47,4.55
unimpressed,2.03,2.47,2.89
inedible,2.03,2.47,2
perturbing,2.03,2.47,5.57
peevish,2.03,2.47,5.72
unsufferable,2.03,2.47,5.77
sad,2,2.5,6.88
indignation,2,2.5,5.71
pushy,2,2.5,5.5
cheerless,2,2.5,5.45
freakish,2,2.5,5.39
patronizing,2,2.5,5.19
petty,2,2.5,5.1
immature,2,2.5,4.97
patronize,2,2.5,4.65
overbearing,2,2.5,4.61
weak,2,2.5,4.21
tactless,2,2.53,3.96
stereotyped,2,2.5,3.71
airheaded,2,2.5,3.59
messy,2,2.5,3
drab,2,2.5,2.57
blight,1.97,2.53,3.92
sordid,1.97,2.65,4.57
uninspired,1.97,2.53,3.27
unenlightened,1.97,2.53,3.5
inflexible,1.97,2.53,3.7
helpless,1.97,2.53,6.15
loony,1.97,2.53,5.3
discourtesy,1.96,2.54,4.32
inconvenient,1.96,2.54,2.97
denial,1.96,2.54,4.93
senseless,1.96,2.54,3.63
groaning,1.96,2.54,3.52
devoid,1.94,2.56,2.78
clueless,1.94,2.56,3.12
frustration,1.94,2.56,6.6
sneaky,1.94,2.56,4.5
drivel,1.94,2.56,4.13
unresponsive,1.94,2.56,2.43
petulant,1.93,2.57,4.88
substandard,1.93,2.57,4
rudely,1.93,2.57,5.69
venomous,1.93,2.57,4.61
embarrass,1.93,2.57,6.45
impossible,1.93,2.57,3.46
snooty,1.92,2.58,4.86
scratchy,1.92,2.58,1.7
foolish,1.91,2.59,4.68
disorganized,1.91,2.59,2.69
offend,1.9,2.6,5.47
unsatisfied,1.9,2.6,4.27
pressured,1.9,2.6,6
pitiable,1.9,2.6,5.57
godforsaken,1.9,2.6,4.9
embarrassing,1.9,2.6,7.37
soggy,1.9,2.6,2.07
desperate,1.89,2.61,6.83
smutty,1.88,2.62,3.42
infantile,1.88,2.63,3.8
galling,1.87,2.63,5.44
insensitive,1.86,2.64,5.15
mindless,1.86,2.64,3.59
woefully,1.86,2.64,5.6
badgering,1.86,2.64,4.34
bollocks,1.86,2.68,3.35
agitative,1.85,2.65,5.53
offended,1.85,2.65,5.97
paranoid,1.84,2.66,6.42
contempt,1.84,2.66,6.16
uncomfortableness,1.84,2.66,4.78
vain,1.84,2.66,4.74
inferior,1.84,2.66,4.53
unsatisfactory,1.84,2.66,4.15
odoriferous,1.84,2.66,2.82
condescending,1.84,2.66,6.33
unappealing,1.84,2.66,4.3
ludicrous,1.83,2.67,5.7
dislike,1.82,2.68,5.38
uncivilized,1.82,2.68,4.24
illiterate,1.82,2.68,1.72
unappetizing,1.81,2.69,3.15
unconscionable,1.81,2.69,4.24
annoyances,1.8,2.7,5.3
condescend,1.8,2.7,4.89
measly,1.8,2.7,4.29
tacky,1.8,2.7,2.62
flavorless,1.8,2.7,2.6
pretentious,1.79,2.71,4.78
unsound,1.79,2.71,3.31
unimaginative,1.79,2.71,2.33
disturbing,1.79,2.71,6.9
grossly,1.79,2.71,5.28
deceptive,1.79,2.71,5.14
uninviting,1.78,2.72,3.65
worrisome,1.78,2.72,5.68
lowest,1.77,2.73,2.43
distressingly,1.77,2.73,6.54
frustrate,1.76,2.74,7.08
saddened,1.76,2.74,6.41
insecure,1.76,2.74,5.32
unsatisfying,1.76,2.74,4.71
broken,1.76,2.74,4.23
problematic,1.76,2.74,3.51
sloppy,1.76,2.74,3.42
unhelpful,1.76,2.74,3.22
tedious,1.76,2.74,3.16
insufficient,1.76,2.74,2.96
shamed,1.75,2.75,6.1
scaring,1.75,2.75,5.48
fool,1.75,2.75,4.45
inappropriate,1.75,2.75,3.78
snobby,1.74,2.76,5.17
mocking,1.74,2.76,5.13
meritless,1.74,2.76,2.83
exhausting,1.73,2.77,5.7
grievous,1.73,2.77,6.19
smelly,1.73,2.77,1.92
pointless,1.72,2.78,2.67
pained,1.72,2.78,6.52
irritate,1.72,2.78,6.32
scary,1.72,2.78,6.06
flawed,1.72,2.78,3.3
incapable,1.72,2.78,3.26
false,1.72,2.78,2.89
displeasure,1.72,2.78,6.19
aggravation,1.71,2.79,6.34
rudest,1.71,2.79,5.1
fake,1.71,2.79,3.86
suck,1.71,2.79,3.28
egotistic,1.71,2.79,5.65
off-putting,1.7,2.8,5.4
troublesome,1.69,2.81,5.87
irksome,1.69,2.81,5.67
conceited,1.69,2.81,6
misleading,1.69,2.81,3.96
irritation,1.68,2.82,5.74
crude,1.68,2.82,4.48
uncomfortably,1.68,2.82,4.33
unlucky,1.68,2.82,3.11
unsuitable,1.68,2.82,2.85
disgruntled,1.68,2.82,6.41
suffers,1.68,2.82,5.79
badly,1.68,2.82,4.52
promiscuous,1.68,2.82,4.38
unhealthy,1.68,2.82,2.92
depress,1.68,2.82,6.8
complaining,1.67,2.83,4.53
poor,1.67,2.83,3.37
gory,1.66,2.84,5
glum,1.66,2.84,6
impolite,1.66,2.84,4.93
worsened,1.66,2.84,3.78
disdainful,1.65,2.85,6.53
manipulated,1.65,2.85,5.1
disturbed,1.64,2.86,6.48
annoys,1.64,2.86,5.69
inadequate,1.64,2.86,4
detriment,1.63,2.87,4.57
wrong,1.63,2.87,4.57
agitating,1.63,2.87,6.24
hurts,1.63,2.88,5.92
troubling,1.62,2.88,6.26
unknowledgeable,1.62,2.88,2.3
dismayed,1.62,2.88,5.81
disliked,1.61,2.89,6.07
unclean,1.61,2.89,2.83
neglectful,1.61,2.89,4.83
upset,1.6,2.9,7.06
aghast,1.6,2.9,6.97
annoyed,1.6,2.9,6.37
obnoxious,1.6,2.9,5.21
unpleasant,1.6,2.9,5.21
bothering,1.6,2.9,5.17
maniac,1.6,2.9,5.04
ruined,1.6,2.9,4.71
unimpressive,1.6,2.9,4.33
uninspiring,1.6,2.9,4.1
dummies,1.6,2.9,3
intolerable,1.59,2.91,6.27
egotistical,1.59,2.91,5.68
lame,1.59,2.91,3.61
dispirited,1.58,2.92,6.07
angering,1.58,2.92,7.13
cruddy,1.57,2.93,5.67
ugly,1.57,2.93,3.76
appalled,1.56,2.94,6.07
dangerous,1.56,2.94,5.23
sucked,1.56,2.94,4.68
hassled,1.56,2.94,3.79
faking,1.56,2.94,3.41
sluggish,1.56,2.94,3.37
punished,1.56,2.94,4.18
unqualified,1.56,2.94,2.62
whining,1.55,2.95,5.26
dirty,1.55,2.95,3.07
mortifying,1.54,2.96,6.86
hopelessly,1.53,2.97,6.23
whiny,1.53,2.97,5.85
unbearably,1.52,2.98,6.45
unlikeable,1.52,2.98,5.26
unfortunate,1.52,2.98,4.35
unwelcome,1.52,2.98,4.15
lewd,1.52,2.98,3.75
faulty,1.52,2.98,3.22
crummy,1.52,2.98,5.08
dumpy,1.52,2.98,4.05
cranky,1.52,2.98,6.33
disappoints,1.52,2.98,6.3
painfully,1.52,2.98,6.13
nutcase,1.52,2.98,5.83
worsen,1.52,2.98,3.57
crud,1.52,2.98,3.34
sadly,1.5,3,6.27
sickening,1.5,3,6.26
obscene,1.5,3,5.69
defective,1.5,3,3.45
upsetting,1.49,3.01,6.77
shoddy,1.48,3.02,3
scares,1.48,3.02,6.05
damaged,1.48,3.02,4.63
impolitely,1.48,3.02,3.82
distressing,1.48,3.02,7.34
manipulate,1.48,3.02,3.9
mad,1.47,3.03,7.27
weakest,1.47,3.03,4.42
heinousness,1.47,3.03,5.66
schmuck,1.47,3.03,5.33
overpriced,1.47,3.03,2.7
disgraceful,1.46,3.04,6
hypocrisy,1.46,3.04,4.31
whores,1.46,3.04,3.79
slob,1.45,3.05,3.48
demeaning,1.45,3.05,6.23
condemned,1.45,3.05,4.54
unreliable,1.45,3.05,3.57
arrogant,1.45,3.05,5.56
insulting,1.44,3.06,6.11
irrational,1.44,3.06,5.89
dissatisfied,1.44,3.06,5.21
lowbred,1.44,3.06,4.38
pissed,1.44,3.06,7.61
disappointed,1.44,3.06,6.37
insulted,1.44,3.06,5.81
whiney,1.44,3.06,4.84
junky,1.44,3.06,1.86
excruciating,1.44,3.06,7.08
undesirable,1.43,3.07,4.69
yucky,1.42,3.08,4.7
hurting,1.41,3.09,5.89
unhealthful,1.41,3.09,2.96
insidious,1.4,3.1,5.93
monstrosity,1.4,3.1,5.93
nuisance,1.4,3.1,4.87
unattractive,1.4,3.1,4.8
tasteless,1.4,3.1,3.93
miserably,1.39,3.11,6.34
failing,1.39,3.11,4.48
thug,1.39,3.11,4.38
crappy,1.39,3.11,5.53
annoying,1.38,3.12,6.37
complains,1.38,3.12,4.56
inexcusable,1.38,3.12,3.52
inept,1.38,3.13,2.11
outrage,1.37,3.13,6.79
pitiful,1.37,3.13,6.14
befoul,1.37,3.13,4.34
unintelligent,1.37,3.13,3.16
crybaby,1.37,3.13,7.33
repugnant,1.37,3.13,5.97
offensive,1.37,3.14,5.84
stinks,1.36,3.14,3.52
sadistic,1.36,3.14,5.79
fails,1.36,3.14,3.48
unsafe,1.36,3.14,4.3
racialist,1.35,3.15,5.07
dismay,1.34,3.16,6.04
humiliated,1.33,3.17,7.68
bitter,1.33,3.17,6.63
terribly,1.33,3.17,5.73
obscenity,1.33,3.17,5.23
depressing,1.32,3.18,7.51
nasty,1.32,3.18,6.79
suffered,1.32,3.18,6.47
morbid,1.32,3.18,5.33
crudeness,1.32,3.18,4.17
worse,1.32,3.18,4
malfunctioning,1.32,3.18,1.07
rudeness,1.31,3.19,5.5
sleazy,1.31,3.19,4.4
disconcerting,1.31,3.19,4.74
unprofessional,1.31,3.19,3.41
undependable,1.31,3.19,3.22
stink,1.3,3.2,2.24
abandon,1.3,3.2,4.9
frustrating,1.3,3.2,6.49
unstable,1.3,3.2,5.44
inconsiderate,1.3,3.2,5.41
losers,1.3,3.2,4.81
unsympathetic,1.3,3.2,4.11
illegal,1.29,3.21,2.3
detestable,1.29,3.21,6.66
rubbish,1.29,3.21,4.14
ungrateful,1.28,3.22,5.42
phony,1.28,3.22,4.46
miserableness,1.28,3.22,6.31
awfully,1.28,3.22,5.58
hater,1.28,3.22,5.48
yuck,1.28,3.22,5.37
defeated,1.28,3.22,5.16
disapprove,1.28,3.22,4.48
plagued,1.28,3.22,4.44
wrongly,1.28,3.22,2.29
cringe,1.28,3.22,6.5
sicken,1.28,3.22,5.56
letdown,1.27,3.23,6.03
icky,1.27,3.23,5.97
ghastly,1.26,3.24,5.55
asinine,1.26,3.24,5.52
menace,1.26,3.24,5.35
detested,1.26,3.24,6.83
shite,1.26,3.24,3.56
waste,1.26,3.24,2.57
jerk,1.25,3.25,6.55
rejected,1.25,3.25,5.28
horror,1.24,3.26,6.26
disrespect,1.24,3.26,5.15
hazardous,1.24,3.26,3.89
angry,1.24,3.26,7.72
bitterly,1.24,3.26,6.44
mean,1.24,3.26,6.06
greedy,1.24,3.26,4.85
disrespectful,1.24,3.26,4.55
reeked,1.24,3.26,3.26
uncaring,1.23,3.27,5.33
angered,1.23,3.27,6.89
abysmally,1.23,3.27,5.57
defile,1.23,3.27,5.15
yuk,1.23,3.27,4.16
dissatisfaction,1.22,3.28,4.97
stinking,1.22,3.28,3.32
atrociousness,1.22,3.28,5.93
appalling,1.21,3.29,6.23
mortified,1.21,3.29,7.44
bitch,1.21,3.29,6.96
distressed,1.2,3.3,7.03
unhappily,1.2,3.3,6.45
intolerance,1.2,3.3,3.45
swindle,1.19,3.31,4.14
stunk,1.19,3.31,3.43
shame,1.19,3.31,6.73
abominable,1.19,3.31,5.38
dreaded,1.18,3.32,6.34
abhorrent,1.18,3.32,6.33
sucks,1.17,3.33,5.56
scorn,1.17,3.33,6.63
irritated,1.17,3.33,6.6
irritable,1.17,3.33,6.4
coward,1.17,3.33,6.2
contemptuous,1.17,3.33,6.03
condemnable,1.17,3.33,5.77
irresponsible,1.17,3.33,5.03
horrendous,1.16,3.34,5.21
rude,1.16,3.34,5.11
manipulative,1.16,3.34,5.07
nauseous,1.16,3.34,4.58
degenerate,1.16,3.34,4.29
stank,1.16,3.34,2.11
harmful,1.16,3.35,4.62
disappointment,1.15,3.35,6.63
unkind,1.15,3.35,4.3
idiotic,1.14,3.36,4.9
rottenly,1.14,3.36,5
viciously,1.13,3.37,7.13
deceiving,1.13,3.37,5.83
disappointing,1.12,3.38,7.03
dishonorable,1.12,3.38,5.3
bad,1.12,3.38,5.07
condemn,1.12,3.38,4.52
crap,1.12,3.38,4.41
ignorant,1.12,3.38,4
ignorance,1.12,3.38,3.44
ungodly,1.12,3.38,3
reprehensible,1.12,3.38,5.81
pathetic,1.11,3.39,6.35
gross,1.11,3.39,6.1
dismal,1.1,3.4,5.8
ripoff,1.1,3.4,5.7
dissatisfactory,1.1,3.4,4.63
dislikable,1.1,3.4,5.57
dysfunctional,1.1,3.4,5.4
damaging,1.1,3.4,4.9
ashamed,1.08,3.42,6.86
dreadful,1.08,3.42,6.75
excruciation,1.08,3.42,6.72
irritating,1.08,3.42,5.83
nauseate,1.08,3.42,5.26
unlikable,1.08,3.42,3.45
distasteful,1.07,3.43,5.24
useless,1.07,3.43,4.65
skanky,1.07,3.43,6.46
despised,1.07,3.43,6.73
unbearable,1.07,3.43,6.04
filth,1.06,3.44,4
trainwreck,1.04,3.46,4.46
contaminating,1.04,3.46,2.31
stupid,1.04,3.46,5.77
filthy,1.04,3.46,5.11
vulgar,1.04,3.46,5.57
hopeless,1.04,3.46,6.93
horrific,1.04,3.46,6.9
betrayed,1.04,3.46,6.62
lousy,1.03,3.47,4.73
depressed,1.03,3.47,7.92
grossest,1.03,3.47,3.34
horrid,1,3.5,6.84
horribly,1,3.5,6.03
homophobic,1,3.5,5.84
scummy,1,3.5,5.42
attacking,1,3.5,5.41
hypocrite,1,3.5,4.88
trashy,1,3.5,4.56
negativity,1,3.5,4.31
stench,1,3.5,4.06
unworthy,1,3.5,3.74
sluttish,0.97,3.53,5.52
perverted,0.97,3.53,5.27
detest,0.97,3.53,6.33
atrocities,0.97,3.53,6.33
deplorable,0.97,3.53,5.3
toxic,0.97,3.53,5.2
disgust,0.96,3.54,7.17
motherfucking,0.96,3.54,6.72
hates,0.96,3.54,7.39
scum,0.93,3.57,6.3
shameful,0.93,3.57,6.19
foul,0.93,3.57,4.9
badness,0.93,3.57,4.13
dreadfully,0.93,3.57,6.28
dumbest,0.93,3.57,4.31
atrociously,0.93,3.57,5.9
corrupt,0.92,3.58,3.53
stupidity,0.92,3.58,3.32
ruining,0.92,3.58,3.03
retarded,0.9,3.6,5.17
loathsome,0.9,3.6,6.37
moron,0.9,3.6,5.53
disgusting,0.89,3.61,6.73
scam,0.89,3.61,3.59
despicable,0.88,3.62,5.72
dumb,0.88,3.62,3.45
unfit,0.88,3.62,2.31
disgusted,0.88,3.63,7.46
slutty,0.87,3.63,6.43
atrocious,0.87,3.63,6
revolting,0.86,3.64,6.7
loser,0.86,3.64,4.7
idiots,0.86,3.64,4.56
awful,0.85,3.65,6.41
grotesque,0.85,3.65,5.03
imbecile,0.85,3.65,3.88
traumatize,0.84,3.66,7.04
torturous,0.84,3.66,6.4
painful,0.84,3.66,5.89
horrible,0.84,3.66,5.53
idiot,0.83,3.67,5.63
terrible,0.83,3.67,5.95
humiliate,0.8,3.7,5.76
mortify,0.8,3.7,5.41
wretched,0.8,3.7,4.83
miserable,0.79,3.71,7.07
atrocity,0.77,3.73,5.26
humiliating,0.77,3.73,7.53
mean-spirited,0.77,3.73,6.67
disastrous,0.76,3.74,5.85
soulless,0.76,3.74,5.11
dishonest,0.76,3.74,4.7
bullied,0.76,3.74,4.52
worst,0.76,3.74,4.32
rancid,0.76,3.74,2.9
bitchy,0.75,3.75,7.45
despise,0.75,3.75,7.03
abysmal,0.74,3.76,5.92
worthless,0.74,3.76,5.59
violated,0.73,3.77,6.7
horrified,0.72,3.78,7.77
agonizing,0.72,3.78,7.16
scumbag,0.72,3.78,5.68
shit,0.72,3.78,5.23
incompetent,0.72,3.78,2.76
stupidest,0.72,3.78,2.72
agony,0.71,3.79,7.21
hating,0.71,3.79,8.08
vile,0.7,3.8,6.61
hate,0.7,3.8,8
slaughtered,0.7,3.8,5.2
psycho,0.69,3.81,6.9
hated,0.69,3.81,6.67
nauseating,0.69,3.81,6.33
deceived,0.69,3.81,5
dickhead,0.68,3.82,5.35
abused,0.67,3.83,7.12
hateful,0.65,3.85,7.29
repulsive,0.64,3.86,7.13
cruel,0.64,3.86,6.79
rotten,0.64,3.86,3.76
disgrace,0.63,3.87,6.34
tortured,0.63,3.88,6.59
hideous,0.62,3.88,6.7
retard,0.6,3.9,2.93
hatred,0.59,3.91,7.66
failure,0.59,3.91,5.85
abusive,0.56,3.94,6.94
abuse,0.54,3.96,5.86
jackass,0.53,3.97,5.5
misery,0.52,3.98,6.9
bully,0.52,3.98,5.81
nastiness,0.52,3.98,5.63
evil,0.5,4,6
shitty,0.48,4.02,5.97
torturing,0.48,4.02,5.48
racist,0.48,4.02,4.45
dumbass,0.47,4.03,5.54
cocksucker,0.45,4.05,5.67
cunt,0.39,4.11,6.18
racism,0.38,4.12,5.3
faggot,0.32,4.18,6.15
assholes,0.26,4.24,7
